TAID,Pubchem CID,IUPAC Name,SMILES,Canonical SMILES,InChIKey,mouse_intraperitoneal_LD50,mammal (species unspecified)_intraperitoneal_LD50,guinea pig_intraperitoneal_LD50,rat_intraperitoneal_LD50,rabbit_intraperitoneal_LD50,mouse_intraperitoneal_LDLo,rat_intraperitoneal_LDLo,mouse_intravenous_LD50,guinea pig_intravenous_LD50,rat_intravenous_LD50,rabbit_intravenous_LD50,dog_intravenous_LD50,cat_intravenous_LD50,mouse_intravenous_LDLo,guinea pig_intravenous_LDLo,rat_intravenous_LDLo,rabbit_intravenous_LDLo,dog_intravenous_LDLo,cat_intravenous_LDLo,mouse_oral_LD50,mammal (species unspecified)_oral_LD50,guinea pig_oral_LD50,rat_oral_LD50,rabbit_oral_LD50,dog_oral_LD50,cat_oral_LD50,bird-wild_oral_LD50,quail_oral_LD50,duck_oral_LD50,chicken_oral_LD50,mouse_oral_LDLo,rat_oral_LDLo,rabbit_oral_LDLo,dog_oral_LDLo,cat_oral_LDLo,man_oral_TDLo,women_oral_TDLo,human_oral_TDLo,mouse_unreported_LD50,mammal (species unspecified)_unreported_LD50,rat_unreported_LD50,mouse_skin_LD50,guinea pig_skin_LD50,rat_skin_LD50,rabbit_skin_LD50,rabbit_skin_LDLo,mouse_subcutaneous_LD50,mammal (species unspecified)_subcutaneous_LD50,guinea pig_subcutaneous_LD50,rat_subcutaneous_LD50,rabbit_subcutaneous_LD50,mouse_subcutaneous_LDLo,guinea pig_subcutaneous_LDLo,rat_subcutaneous_LDLo,rabbit_subcutaneous_LDLo,frog_subcutaneous_LDLo,mouse_intramuscular_LD50,rat_intramuscular_LD50,mouse_parenteral_LD50
TOX-19884,27474,3-methylidenecyclobutane-1-carbonitrile,C=C1CC(C#N)C1,C=C1CC(C#N)C1,ZRWMAMOBIQQJSA-UHFFFAOYSA-N,250.0026844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19885,27475,3-methylidenecyclobutane-1-carboxylic acid,C=C1CC(C(=O)O)C1,C=C1CC(C(=O)O)C1,NNKLICLIBKMDOY-UHFFFAOYSA-N,500.0089189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19886,197938,"3-heptyl-2-[(3-heptyl-4-methyl-1,3-thiazol-3-ium-2-yl)methylidene]-4-methyl-1,3-thiazole",CCCCCCCN1C(C)=CSC1=Cc1scc(C)[n+]1CCCCCCC,CCCCCCCN1C(C)=CSC1=Cc1scc(C)[n+]1CCCCCCC,WDUDHDNQGNWNCF-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,459.9853323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19887,85087,3-(3-ethoxypropoxy)propan-1-ol,CCOCCCOCCCO,CCOCCCOCCCO,VKCROHJIGLNYSC-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,3710.022865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19888,204150,"ethyl 5-(1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl)-3-methylpenta-2,4-dienoate",CCOC(=O)C=C(C)C=CC1(O)C(C)=CC(=O)CC1(C)C,CCOC(=O)C=C(C)C=CC1(O)C(C)=CC(=O)CC1(C)C,XCGJMMCHEDXHTP-UHFFFAOYSA-N,,1500.128259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19889,27478,di(pyrrol-1-yl)methanone,O=C(n1cccc1)n1cccc1,O=C(n1cccc1)n1cccc1,AVDNGGJZZVTQNA-UHFFFAOYSA-N,,,,,,,,179.9932574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19890,16684016,[acetyloxy(diethyl)plumbyl] acetate,CC[Pb](CC)(OC(C)=O)OC(C)=O,CC[Pb](CC)(OC(C)=O)OC(C)=O,VIOZLWOGYJSVGV-UHFFFAOYSA-L,,,,,,,,,,,,,,,,,,,,129.8603069,,,240.7410304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19891,27480,"N,N-diethyl-1,3-benzodioxole-5-carboxamide",CCN(CC)C(=O)c1ccc2c(c1)OCO2,CCN(CC)C(=O)c1ccc2c(c1)OCO2,NZQNJNITDVCQRM-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,349.990509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19892,27481,3-chloro-1-(4-nitrophenyl)prop-2-en-1-one,O=C(C=CCl)c1ccc([N+](=O)[O-])cc1,O=C(C=CCl)c1ccc([N+](=O)[O-])cc1,ADRDHEFLWUEGCY-UHFFFAOYSA-N,41.99920603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19893,27483,2-(diethylamino)ethyl 4-(2-methylpropoxy)benzoate,CCN(CC)CCOC(=O)c1ccc(OCC(C)C)cc1,CCN(CC)CCOC(=O)c1ccc(OCC(C)C)cc1,KBOIKZATBIQPES-UHFFFAOYSA-N,157.9962305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19894,204153,N-[2-[4-(hydroxyiminomethyl)pyridin-1-ium-1-yl]-1-phenylethylidene]hydroxylamine,ON=Cc1cc[n+](CC(=NO)c2ccccc2)cc1,ON=Cc1cc[n+](CC(=NO)c2ccccc2)cc1,ZUMHWURFLMOOIA-UHFFFAOYSA-O,66.9986928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19895,27487,"N,N-dimethyl-N'-(2-phenylethyl)methanimidamide",CN(C)C=NCCc1ccccc1,CN(C)C=NCCc1ccccc1,KPDUVWBTRFPCGC-UHFFFAOYSA-N,,,,,,,,55.99904682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19896,27488,2-cyanoprop-2-enoic acid,C=C(C#N)C(=O)O,C=C(C#N)C(=O)O,IJVRPNIWWODHHA-UHFFFAOYSA-N,6759.791078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19897,27491,"1,4-dihydroquinoxaline-2,3-dione",O=c1[nH]c2ccccc2nc1O,O=c1[nH]c2ccccc2nc1O,ABJFBJGGLJVMAQ-UHFFFAOYSA-N,200.0024667,,,,,,500.0061671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19898,27493,N-[(2-chlorophenyl)methyl]-3-[2-(pyridine-4-carbonyl)hydrazinyl]propanamide,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1Cl,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1Cl,QQZPSUBNXOTVCY-UHFFFAOYSA-N,999.9669456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19899,27494,N-[(2-methylphenyl)methyl]-3-[2-(pyridine-4-carbonyl)hydrazinyl]propanamide,Cc1ccccc1CNC(=O)CCNNC(=O)c1ccncc1,Cc1ccccc1CNC(=O)CCNNC(=O)c1ccncc1,XAOMXCXVTGEQEG-UHFFFAOYSA-N,499.9951983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19900,27495,N-[(3-methylphenyl)methyl]-3-[2-(pyridine-4-carbonyl)hydrazinyl]propanamide,Cc1cccc(CNC(=O)CCNNC(=O)c2ccncc2)c1,Cc1cccc(CNC(=O)CCNNC(=O)c2ccncc2)c1,HZGDDONUVNALST-UHFFFAOYSA-N,499.9951983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19901,120302,1-benzyl-2-phenylhydrazine,c1ccc(CNNc2ccccc2)cc1,c1ccc(CNNc2ccccc2)cc1,ZEMCGIDMAMIJLF-UHFFFAOYSA-N,499.9773034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19902,5492975,5-nitro-N'-quinolin-2-ylfuran-2-carbohydrazide,O=C(NNc1ccc2ccccc2n1)c1ccc([N+](=O)[O-])o1,O=C(NNc1ccc2ccccc2n1)c1ccc([N+](=O)[O-])o1,NPKDXWFPTLZWMM-UHFFFAOYSA-N,999.9731783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19903,5492976,N'-(2-hydroxyethyl)-5-nitrofuran-2-carbohydrazide,O=C(NNCCO)c1ccc([N+](=O)[O-])o1,O=C(NNCCO)c1ccc([N+](=O)[O-])o1,BWXKDRJYDNKJMI-UHFFFAOYSA-N,549.9872196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19904,5492977,N'-(1-benzothiophen-2-yl)-5-nitrofuran-2-carbohydrazide,O=C(NNc1cc2ccccc2s1)c1ccc([N+](=O)[O-])o1,O=C(NNc1cc2ccccc2s1)c1ccc([N+](=O)[O-])o1,MLQZVFQZIHOONX-UHFFFAOYSA-N,1000.003298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19905,27497,2-[(4-methoxyphenyl)methylamino]-1-phenylpropan-1-ol,COc1ccc(CNC(C)C(O)c2ccccc2)cc1,COc1ccc(CNC(C)C(O)c2ccccc2)cc1,IPCCISUWBYVNLX-UHFFFAOYSA-N,127.995283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19906,27499,2-(4-methoxyphenyl)cyclobutan-1-amine,COc1ccc(C2CCC2N)cc1,COc1ccc(C2CCC2N)cc1,VEQOJSWKOOHOKR-UHFFFAOYSA-N,,,,,,,,24.99901265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19907,152118,"1,5-diphenylpenta-1,4-diyn-3-one",O=C(C#Cc1ccccc1)C#Cc1ccccc1,O=C(C#Cc1ccccc1)C#Cc1ccccc1,RPDMTPXOTVBOHB-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,999.9739427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19908,27501,"N,N-diethyl-2-(5-imino-3-phenyl-1,2,4-oxadiazol-4-yl)ethanamine",CCN(CC)CCn1c(-c2ccccc2)noc1=N,CCN(CC)CCn1c(-c2ccccc2)noc1=N,MGSPDRWOUCPKNZ-UHFFFAOYSA-N,,,,,,,,24.99894369,,,,,,,,,,,,474.9799302,,,649.9725361,,,,,,,,,,,,,,,,,,,,,,,,824.9651421,,,749.9683113,,,,,,,,,
TOX-19909,28714,3-cyclohexyl-3-phenylazetidin-2-one,O=C1NCC1(c1ccccc1)C1CCCCC1,O=C1NCC1(c1ccccc1)C1CCCCC1,VFQZGLHTORSEPN-UHFFFAOYSA-N,499.9934593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19910,24761,2-dodecoxyethyl hydrogen sulfate,CCCCCCCCCCCCOCCOS(=O)(=O)O,CCCCCCCCCCCCOCCOS(=O)(=O)O,QTDIEDOANJISNP-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,1994.961442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19911,204158,"1-(1H-indol-3-ylmethyl)-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline",COc1cc2c(cc1OC)C(Cc1c[nH]c3ccccc13)NCC2,COc1cc2c(cc1OC)C(Cc1c[nH]c3ccccc13)NCC2,XVIUOHLUFLSLMA-UHFFFAOYSA-N,999.9751857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19912,204160,1-[4-(3-chlorophenyl)piperidin-4-yl]propan-1-one,CCC(=O)C1(c2cccc(Cl)c2)CCNCC1,CCC(=O)C1(c2cccc(Cl)c2)CCNCC1,QECKKRFDIZXXEG-UHFFFAOYSA-N,,,,,,,,103.9971084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19913,197940,1-(4-phenylpiperidin-4-yl)propan-1-one,CCC(=O)C1(c2ccccc2)CCNCC1,CCC(=O)C1(c2ccccc2)CCNCC1,JKRWYYCQYDMMBO-UHFFFAOYSA-N,,,,,,,,49.99953988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19914,27508,"4-ethoxy-1,3-benzothiazol-2-amine",CCOc1cccc2sc(N)nc12,CCOc1cccc2sc(N)nc12,JHGMOMZRSFGBFV-UHFFFAOYSA-N,,,,,,,,80.00041178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19915,27509,"N'-(4-fluorophenyl)-N,N-dimethylmethanimidamide",CN(C)C=Nc1ccc(F)cc1,CN(C)C=Nc1ccc(F)cc1,ZUXFGHXKHKTCRP-UHFFFAOYSA-N,,,,,,,,18.00010831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19916,27510,"4,5-dihydroxycyclohepta-2,4,6-trien-1-one",O=c1ccc(O)ccc1O,O=c1ccc(O)ccc1O,RHKLONPUIWSHCD-UHFFFAOYSA-N,220.9967997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.9945558,,,,,,,,,,,,
TOX-19917,27511,"2,6-dichloro-N-(propan-2-ylideneamino)pyridine-4-carboxamide",CC(C)=NNC(=O)c1cc(Cl)nc(Cl)c1,CC(C)=NNC(=O)c1cc(Cl)nc(Cl)c1,QGHBIZMKYMHCAX-UHFFFAOYSA-N,599.9829338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19918,27512,N'-(4-methylpentan-2-yl)pyridine-4-carbohydrazide,CC(C)CC(C)NNC(=O)c1ccncc1,CC(C)CC(C)NNC(=O)c1ccncc1,ZGCUMYSTJDFOCK-UHFFFAOYSA-N,174.9968369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19919,204162,1-(dimethylamino)propan-2-yl N-phenylcarbamate,CC(CN(C)C)OC(=O)Nc1ccccc1,CC(CN(C)C)OC(=O)Nc1ccccc1,HTAXCBIPSABVFQ-UHFFFAOYSA-N,,,,,,,,174.9937017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19920,85919,"N-(2,3-dihydrothiochromen-4-ylidene)hydroxylamine",ON=C1CCSc2ccccc21,ON=C1CCSc2ccccc21,RARVWGVWROHFMP-UHFFFAOYSA-N,,,,,,,,55.99875031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19921,97070,9H-fluoren-2-yl(phenyl)methanone,O=C(c1ccccc1)c1ccc2c(c1)Cc1ccccc1-2,O=C(c1ccccc1)c1ccc2c(c1)Cc1ccccc1-2,CVTOUHCXGZGKEI-UHFFFAOYSA-N,1999.770653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19922,27513,1H-indole-5-carbonitrile,N#Cc1ccc2[nH]ccc2c1,N#Cc1ccc2[nH]ccc2c1,YHYLDEVWYOFIJK-UHFFFAOYSA-N,,,,,,,,99.99929652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19923,27515,N-(4-ethoxyphenyl)-N-nitrosoacetamide,CCOc1ccc(N(N=O)C(C)=O)cc1,CCOc1ccc(N(N=O)C(C)=O)cc1,ANFMPQMRMNEDCD-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,20.99929401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19924,85148,"2-[[methoxy(propan-2-yloxy)phosphinothioyl]sulfanylmethyl]isoindole-1,3-dione",COP(=S)(OC(C)C)SCN1C(=O)c2ccccc2C1=O,COP(=S)(OC(C)C)SCN1C(=O)c2ccccc2C1=O,IGLNHDRBNYJMAY-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,50.00260578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19925,204164,diethyl 1-piperidin-1-ylpropan-2-yl phosphate,CCOP(=O)(OCC)OC(C)CN1CCCCC1,CCOP(=O)(OCC)OC(C)CN1CCCCC1,QOUGNHXZJRWYJO-UHFFFAOYSA-N,324.991855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19926,204165,1-piperidin-1-ylpropan-2-yl dipropyl phosphate,CCCOP(=O)(OCCC)OC(C)CN1CCCCC1,CCCOP(=O)(OCCC)OC(C)CN1CCCCC1,CIKKIOHCURROIM-UHFFFAOYSA-N,215.9992972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19927,204166,1-piperidin-1-ylpropan-2-yl dipropan-2-yl phosphate,CC(C)OP(=O)(OC(C)C)OC(C)CN1CCCCC1,CC(C)OP(=O)(OC(C)C)OC(C)CN1CCCCC1,CIMGFDPFMIWLTH-UHFFFAOYSA-N,174.9994308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19928,204167,dibutyl 1-piperidin-1-ylpropan-2-yl phosphate,CCCCOP(=O)(OCCCC)OC(C)CN1CCCCC1,CCCCOP(=O)(OCCCC)OC(C)CN1CCCCC1,JXWDIKAQTDFWJT-UHFFFAOYSA-N,217.9967503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19929,3116,(1-methylpyridin-1-ium-3-yl) N-methyl-N-[6-[methyl-(1-methylpyridin-1-ium-3-yl)oxycarbonylamino]hexyl]carbamate,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,AHZBEVXBKNYXPU-UHFFFAOYSA-N,0.309983626,,,0.739960915,,,,0.299984155,,0.739960915,,,,,,,,,,10.49944541,,,9.999471818,,,,,,,,,,,,,,,,,,,,,,,,0.899952463,,,1.079942955,,,,,,,,,
TOX-19930,27524,4-chloro-1H-pyrazole,Clc1cn[nH]c1,Clc1cn[nH]c1,BADSZRMNXWLUKO-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,526.9794386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19931,204169,4-chloro-5-methyl-1H-pyrazole,Cc1[nH]ncc1Cl,Cc1[nH]ncc1Cl,LCDKUXJKMAFCTI-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,374.9967828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19932,85991,"1-[6-hydroxy-2-(trichloromethyl)-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3]dioxol-5-yl]ethane-1,2-diol",OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,OJYGBLRPYBAHRT-UHFFFAOYSA-N,174.9836041,,,,,,,,,,,,,,,,,119.988757,,199.9812618,,,399.962524,,249.9765773,249.9765773,8.999156787,31.59703937,41.99606501,299.9718927,,,,,,,,,,,,,,,,,,,,,,,,199.9812618,,,,,
TOX-19933,27526,N-methyl-N-(4-methylheptan-2-yl)cyclopropanamine,CCCC(C)CC(C)N(C)C1CC1,CCCC(C)CC(C)N(C)C1CC1,MHDVPQSHYYPOAL-UHFFFAOYSA-N,99.99509111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19934,115282,"N-(2,6-dimethylphenyl)piperidine-2-carboxamide",Cc1cccc(C)c1NC(=O)C1CCCCN1,Cc1cccc(C)c1NC(=O)C1CCCCN1,SILRCGDPZGQJOQ-UHFFFAOYSA-N,139.9957817,,,,,,,44.99864412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19935,27527,N-(cycloheptylideneamino)pyridine-4-carboxamide,O=C(NN=C1CCCCCC1)c1ccncc1,O=C(NN=C1CCCCCC1)c1ccncc1,GPPOWELDCJJAIZ-UHFFFAOYSA-N,,,,,,,,315.9877039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19936,5894104,N-[(Z)-(2-methylcyclohexylidene)amino]pyridine-4-carboxamide,CC1CCCC/C1=N\NC(=O)c1ccncc1,CC1CCCC/C1=N\NC(=O)c1ccncc1,JCDUNXBXHFOXMR-QINSGFPZSA-N,,,,,,,,315.9877039,,,,,,,,,,,,369.9856031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19937,5360489,N-[(E)-(3-methylcyclohexylidene)amino]pyridine-4-carboxamide,CC1CCC/C(=N/NC(=O)c2ccncc2)C1,CC1CCC/C(=N/NC(=O)c2ccncc2)C1,UYQHHKANUYIZLE-NTCAYCPXSA-N,,,,,,,,177.9930738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19938,9570315,N-[(E)-(4-methyl-1-propan-2-yl-3-bicyclo[3.1.0]hexanylidene)amino]pyridine-4-carboxamide,CC1/C(=N\NC(=O)c2ccncc2)CC2(C(C)C)CC12,CC1/C(=N\NC(=O)c2ccncc2)CC2(C(C)C)CC12,IAYJZKYEROTTON-NBVRZTHBSA-N,,,,,,,,177.9973762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19939,5492978,"N-[(E)-(1,7,7-trimethyl-2-bicyclo[2.2.1]heptanylidene)amino]pyridine-4-carboxamide",CC12CCC(C/C1=N/NC(=O)c1ccncc1)C2(C)C,CC12CCC(C/C1=N/NC(=O)c1ccncc1)C2(C)C,DRRCYXTXGVMYGZ-QGOAFFKASA-N,,,,,,,,315.9953418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19940,27531,N'-(3-methylcyclohexyl)pyridine-4-carbohydrazide,CC1CCCC(NNC(=O)c2ccncc2)C1,CC1CCCC(NNC(=O)c2ccncc2)C1,MVFSFRSWCGDGFZ-UHFFFAOYSA-N,,,,,,,,55.99879988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19941,27532,3-methylsulfonyloxypropyl methanesulfonate,CS(=O)(=O)OCCCOS(C)(=O)=O,CS(=O)(=O)OCCCOS(C)(=O)=O,MAIFZJHANFOZHK-UHFFFAOYSA-N,500.0452046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19942,204174,3-hydroxy-2-sulfanylpropanal,O=CC(S)CO,O=CC(S)CO,KFXMMDJTEXOROR-UHFFFAOYSA-N,,,,,,,,180.006783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19943,85929,"1,13-dimethyl-10-prop-2-ynyl-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol",C#CCN1CCC2(C)c3cc(O)ccc3CC1C2C,C#CCN1CCC2(C)c3cc(O)ccc3CC1C2C,DXRSDIZZXLDAAH-UHFFFAOYSA-N,,,,,,,,40.99823384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.9925048,,,,,,,,,,,,
TOX-19944,204176,methyl 2-hydroxy-4-[3-(4-methylmorpholin-4-ium-4-yl)propanoylamino]benzoate,COC(=O)c1ccc(NC(=O)CC[N+]2(C)CCOCC2)cc1O,COC(=O)c1ccc(NC(=O)CC[N+]2(C)CCOCC2)cc1O,FGKKPVKAQHIHLU-UHFFFAOYSA-O,,,,,,,,,,,,,,,,,,,,999.9721671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19945,204177,"2-(2,5-dimethylphenyl)indene-1,3-dione",Cc1ccc(C)c(C2C(=O)c3ccccc3C2=O)c1,Cc1ccc(C)c(C2C(=O)c3ccccc3C2=O)c1,DJVVAHHXAXAZIW-UHFFFAOYSA-N,2374.933581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19946,85173,"2-methyl-3-phenoxypropane-1,2-diol",CC(O)(CO)COc1ccccc1,CC(O)(CO)COc1ccccc1,FDXOWEXWCPILKM-UHFFFAOYSA-N,983.0053949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.007091,,,,,,,,,,,,
TOX-19947,204178,4-(dimethylaminomethylidene)-2-phenyl-5-propylpyrazol-3-one,CCCC1=NN(c2ccccc2)C(=O)C1=CN(C)C,CCCC1=NN(c2ccccc2)C(=O)C1=CN(C)C,CUWKTMCUQYDTED-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,301.9917849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19948,204179,5-methyl-4-(morpholin-4-ylmethylidene)-2-phenylpyrazol-3-one,CC1=NN(c2ccccc2)C(=O)C1=CN1CCOCC1,CC1=NN(c2ccccc2)C(=O)C1=CN1CCOCC1,ZITDFRFPRRUJBQ-UHFFFAOYSA-N,199.9926285,,,,,,,,,,,,,,,,,,,449.983414,,,1434.947111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19949,204181,N-(cyclohex-3-en-1-ylmethyl)cyclopropanamine,C1=CCC(CNC2CC2)CC1,C1=CCC(CNC2CC2)CC1,XBGSSUHNYDDWNO-UHFFFAOYSA-N,149.997025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-19950,27536,"ethyl 4-acetyl-5-methyl-1,2-oxazole-3-carboxylate",CCOC(=O)c1noc(C)c1C(C)=O,CCOC(=O)c1noc(C)c1C(C)=O,KABXFHWGNZLDTD-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
